Day,Temperature Day,Pressure Day,Wind Day,Temperature Night,Pressure Night,Wind Night
2008-02-38,+2,738,ЮЗ 3м/с,+1,740,ЮЗ 3м/с
2008-03-10,+3,743,Ю 3м/с,+2,742,Ю 3м/с
2008-03-11,+2,738,В 3м/с,+3,737,В 3м/с
2008-03-12,+2,736,Ю 2м/с,+1,738,Ю 2м/с
2008-03-13,+1,735,В 1м/с,0,735,В 1м/с
2008-03-14,+1,744,З 3м/с,-1,748,З 3м/с
2008-03-15,+1,750,ЮЗ 5м/с,-1,751,ЮЗ 5м/с
2008-03-16,+2,747,ЮЗ 4м/с,0,744,ЮЗ 4м/с
2008-03-17,+2,742,З 2м/с,0,746,З 2м/с
2008-03-18,+1,753,С 2м/с,-3,754,С 2м/с
2008-03-19,-2,752,СВ 3м/с,-4,752,СВ 3м/с
2008-03-20,0,752,С 2м/с,-4,752,С 2м/с
2008-03-21,0,751,ЮВ 2м/с,-3,750,ЮВ 2м/с
2008-03-22,+3,746,Ю 2м/с,-1,746,Ю 2м/с
2008-03-23,+4,744,Ш,-1,744,Ш
2008-03-24,+4,741,В 1м/с,+1,741,В 1м/с
2008-03-25,0,738,В 1м/с,-1,744,В 1м/с
2008-03-26,+2,735,ЮЗ 3м/с,+1,737,ЮЗ 3м/с
2008-03-27,0,737,В 2м/с,+1,735,В 2м/с
2008-03-28,+4,741,ЮВ 1м/с,+2,738,ЮВ 1м/с
2008-03-29,+4,746,ЮЗ 4м/с,+2,740,ЮЗ 4м/с
2008-03-30,+5,741,ЮЗ 4м/с,+3,740,ЮЗ 4м/с
2008-03-31,+2,738,З 1м/с,+1,742,З 1м/с
2008-03-32,+3,748,Ю 1м/с,+2,748,Ю 1м/с
2008-03-33,+4,745,ЮВ 2м/с,+2,747,ЮВ 2м/с
2008-03-34,+10,744,В 2м/с,+5,742,В 2м/с
2008-03-35,+15,738,В 3м/с,+10,741,В 3м/с
2008-03-36,+12,746,ЮЗ 2м/с,+10,747,ЮЗ 2м/с
2008-03-37,+8,756,З 2м/с,+5,758,З 2м/с
2008-03-38,+9,759,С 2м/с,+5,759,С 2м/с
2008-03-39,+7,754,С 4м/с,+5,753,С 4м/с
2008-03-40,+10,753,С 2м/с,+5,753,С 2м/с
2008-04-10,+11,752,СВ 4м/с,+5,752,СВ 4м/с
2008-04-11,+10,749,СВ 3м/с,+6,749,СВ 3м/с
2008-04-12,+15,748,СВ 4м/с,+10,749,СВ 4м/с
2008-04-13,+17,746,СВ 2м/с,+11,747,СВ 2м/с
2008-04-14,+17,747,В 2м/с,+14,748,В 2м/с
2008-04-15,+20,753,ЮЗ 2м/с,+16,753,ЮЗ 2м/с
2008-04-16,+20,755,Ю 3м/с,+16,756,Ю 3м/с
2008-04-17,+19,755,Ю 3м/с,+14,754,Ю 3м/с
2008-04-18,+20,753,Ю 3м/с,+15,753,Ю 3м/с
2008-04-19,+21,752,Ю 2м/с,+17,752,Ю 2м/с
2008-04-20,+22,750,Ю 3м/с,+14,750,Ю 3м/с
2008-04-21,+21,747,ЮЗ 2м/с,+17,747,ЮЗ 2м/с
2008-04-22,+20,747,С 2м/с,+13,748,С 2м/с
2008-04-23,+9,743,В 4м/с,+5,740,В 4м/с
2008-04-24,+8,747,В 3м/с,+3,752,В 3м/с
2008-04-25,+8,758,В 2м/с,+5,759,В 2м/с
2008-04-26,+11,759,ЮВ 3м/с,+7,758,ЮВ 3м/с
2008-04-27,+12,756,ЮВ 4м/с,+9,754,ЮВ 4м/с
2008-04-28,+12,753,ЮВ 2м/с,+10,751,ЮВ 2м/с
2008-04-29,+15,748,З 2м/с,+10,748,З 2м/с
2008-04-30,+19,746,Ю 2м/с,+14,746,Ю 2м/с
2008-04-31,+18,742,З 2м/с,+13,742,З 2м/с
2008-04-32,+9,746,СЗ 3м/с,+9,747,СЗ 3м/с
2008-04-33,+4,742,С 2м/с,+5,744,С 2м/с
2008-04-34,+13,750,ЮЗ 3м/с,+11,752,ЮЗ 3м/с
2008-04-35,+16,752,ЮЗ 3м/с,+10,753,ЮЗ 3м/с
2008-04-36,+14,755,СЗ 4м/с,+8,753,СЗ 4м/с
2008-04-37,+15,752,З 1м/с,+9,752,З 1м/с
2008-04-38,+17,752,СЗ 2м/с,+12,753,СЗ 2м/с
2008-04-39,+20,754,З 2м/с,+15,755,З 2м/с
2008-05-10,+21,752,З 2м/с,+16,750,З 2м/с
2008-05-11,+14,751,СВ 4м/с,+8,753,СВ 4м/с
2008-05-12,+13,754,С 4м/с,+9,754,С 4м/с
2008-05-13,+15,755,СВ 2м/с,+8,754,СВ 2м/с
2008-05-14,+17,752,З 1м/с,+11,751,З 1м/с
2008-05-15,+19,746,З 2м/с,+14,744,З 2м/с
2008-05-16,+20,742,З 2м/с,+16,743,З 2м/с
2008-05-17,+20,741,С 3м/с,+15,743,С 3м/с
2008-05-18,+19,746,З 2м/с,+12,748,З 2м/с
2008-05-19,+20,751,З 2м/с,+14,752,З 2м/с
2008-05-20,+24,748,В 3м/с,+19,748,В 3м/с
2008-05-21,+24,745,С 2м/с,+15,745,С 2м/с
2008-05-22,+21,744,ЮЗ 3м/с,+15,744,ЮЗ 3м/с
2008-05-23,+12,738,В 1м/с,+11,736,В 1м/с
2008-05-24,+10,741,ЮЗ 4м/с,+7,744,ЮЗ 4м/с
2008-05-25,+13,749,З 3м/с,+11,750,З 3м/с
2008-05-26,+21,749,ЮЗ 3м/с,+18,749,ЮЗ 3м/с
2008-05-27,+22,751,З 1м/с,+18,752,З 1м/с
2008-05-28,+27,752,ЮЗ 3м/с,+21,752,ЮЗ 3м/с
2008-05-29,+29,752,ЮЗ 2м/с,+21,751,ЮЗ 2м/с
2008-05-30,+29,750,ЮЗ 1м/с,+21,750,ЮЗ 1м/с
2008-05-31,+29,748,ЮЗ 1м/с,+19,748,ЮЗ 1м/с
2008-05-32,+18,751,С 4м/с,+17,752,С 4м/с
2008-05-33,+20,748,В 2м/с,+22,745,В 2м/с
2008-05-34,+25,744,З 2м/с,+20,743,З 2м/с
2008-05-35,+22,739,СЗ 2м/с,+16,741,СЗ 2м/с
2008-05-36,+17,744,С 2м/с,+15,744,С 2м/с
2008-05-37,+10,742,С 3м/с,+9,741,С 3м/с
2008-05-38,+11,738,СЗ 2м/с,+10,739,СЗ 2м/с
2008-05-39,+19,740,З 2м/с,+13,741,З 2м/с
2008-05-40,+12,740,СВ 1м/с,+12,740,СВ 1м/с
2008-06-10,+16,742,З 2м/с,+11,744,З 2м/с
2008-06-11,+13,747,З 1м/с,+11,748,З 1м/с
2008-06-12,+19,747,Ш,+12,748,Ш
2008-06-13,+19,746,З 1м/с,+16,746,З 1м/с
2008-06-14,+16,739,ЮЗ 3м/с,+12,740,ЮЗ 3м/с
2008-06-15,+14,743,СЗ 3м/с,+11,743,СЗ 3м/с
2008-06-16,+12,744,С 3м/с,+8,746,С 3м/с
2008-06-17,+9,749,С 3м/с,+7,749,С 3м/с
2008-06-18,+14,748,ЮЗ 4м/с,+14,746,ЮЗ 4м/с
2008-06-19,+21,741,ЮЗ 4м/с,+16,741,ЮЗ 4м/с
2008-06-20,+20,746,ЮЗ 2м/с,+16,745,ЮЗ 2м/с
2008-06-21,+28,747,З 2м/с,+23,746,З 2м/с
2008-06-22,+27,747,В 1м/с,+22,745,В 1м/с
2008-06-23,+26,745,С 1м/с,+22,744,С 1м/с
2008-06-24,+27,744,С 3м/с,+23,744,С 3м/с
2008-06-25,+30,745,ЮВ 1м/с,+24,745,ЮВ 1м/с
2008-06-26,+25,746,Ш,+22,744,Ш
2008-06-27,+27,744,З 1м/с,+23,744,З 1м/с
2008-06-28,+27,745,С 1м/с,+22,746,С 1м/с
2008-06-29,+23,747,СВ 3м/с,+21,748,СВ 3м/с
2008-06-30,+26,747,СВ 3м/с,+23,746,СВ 3м/с
2008-06-31,+31,742,В 3м/с,+26,741,В 3м/с
2008-06-32,+25,741,ЮЗ 2м/с,+21,741,ЮЗ 2м/с
2008-06-33,+22,740,СВ 2м/с,+20,739,СВ 2м/с
2008-06-34,+17,738,В 1м/с,+17,738,В 1м/с
2008-06-35,+20,740,З 2м/с,+15,742,З 2м/с
2008-06-36,+20,745,СЗ 3м/с,+15,746,СЗ 3м/с
2008-06-37,+23,747,СЗ 2м/с,+16,747,СЗ 2м/с
2008-06-38,+21,744,ЮЗ 2м/с,+16,744,ЮЗ 2м/с
2008-06-39,+21,739,В 1м/с,+19,738,В 1м/с
2008-07-10,+19,738,З 1м/с,+17,738,З 1м/с
2008-07-11,+21,738,Ш,+18,738,Ш
2008-07-12,+21,738,С 2м/с,+19,738,С 2м/с
2008-07-13,+23,739,СВ 2м/с,+19,739,СВ 2м/с
2008-07-14,+24,738,В 2м/с,+18,738,В 2м/с
2008-07-15,+27,741,ЮВ 1м/с,+24,741,ЮВ 1м/с
2008-07-16,+28,743,Ю 3м/с,+21,744,Ю 3м/с
2008-07-17,+24,746,СВ 1м/с,+23,744,СВ 1м/с
2008-07-18,+26,743,С 2м/с,+22,743,С 2м/с
2008-07-19,+26,744,Ю 3м/с,+22,743,Ю 3м/с
2008-07-20,+28,744,ЮЗ 2м/с,+24,744,ЮЗ 2м/с
2008-07-21,+21,742,Ю 2м/с,+19,742,Ю 2м/с
2008-07-22,+23,744,СЗ 2м/с,+18,745,СЗ 2м/с
2008-07-23,+27,748,З 2м/с,+23,748,З 2м/с
2008-07-24,+30,748,СЗ 2м/с,+25,747,СЗ 2м/с
2008-07-25,+32,746,С 1м/с,+24,745,С 1м/с
2008-07-26,+32,746,С 2м/с,+27,747,С 2м/с
2008-07-27,+31,748,В 3м/с,+25,747,В 3м/с
2008-07-28,+31,747,В 2м/с,+22,746,В 2м/с
2008-07-29,+31,744,В 1м/с,+28,744,В 1м/с
2008-07-30,+25,747,Ю 1м/с,+22,747,Ю 1м/с
2008-07-31,+28,748,С 2м/с,+24,748,С 2м/с
2008-07-32,+32,749,СВ 1м/с,+27,750,СВ 1м/с
2008-07-33,+31,749,В 1м/с,+24,748,В 1м/с
2008-07-34,+27,746,С 2м/с,+22,746,С 2м/с
2008-07-35,+26,745,С 1м/с,+22,745,С 1м/с
2008-07-36,+22,744,Ш,+20,744,Ш
2008-07-37,+15,741,СВ 3м/с,+15,741,СВ 3м/с
2008-07-38,+24,744,З 1м/с,+16,744,З 1м/с
2008-07-39,+21,747,ЮЗ 4м/с,+17,747,ЮЗ 4м/с
2008-07-40,+23,749,З 2м/с,+16,750,З 2м/с
2008-08-10,+23,750,ЮЗ 2м/с,+15,750,ЮЗ 2м/с
2008-08-11,+24,747,ЮЗ 1м/с,+17,747,ЮЗ 1м/с
2008-08-12,+25,747,З 3м/с,+19,747,З 3м/с
2008-08-13,+23,742,С 2м/с,+20,742,С 2м/с
2008-08-14,+24,744,З 2м/с,+21,741,З 2м/с
2008-08-15,+21,738,ЮЗ 3м/с,+19,736,ЮЗ 3м/с
2008-08-16,+17,736,СЗ 1м/с,+12,738,СЗ 1м/с
2008-08-17,+13,743,ЮЗ 3м/с,+12,746,ЮЗ 3м/с
2008-08-18,+20,748,З 2м/с,+15,748,З 2м/с
2008-08-19,+23,749,З 3м/с,+20,748,З 3м/с
2008-08-20,+30,749,ЮЗ 3м/с,+20,749,ЮЗ 3м/с
2008-08-21,+31,750,З 1м/с,+22,749,З 1м/с
2008-08-22,+33,751,З 1м/с,+22,751,З 1м/с
2008-08-23,+33,751,ЮЗ 1м/с,+23,750,ЮЗ 1м/с
2008-08-24,+33,750,З 1м/с,+23,750,З 1м/с
2008-08-25,+35,750,Ш,+28,750,Ш
2008-08-26,+32,752,С 2м/с,+26,751,С 2м/с
2008-08-27,+32,752,Ш,+23,750,Ш
2008-08-28,+33,747,Ю 1м/с,+24,746,Ю 1м/с
2008-08-29,+35,744,Ю 1м/с,+27,744,Ю 1м/с
2008-08-30,+23,747,СЗ 2м/с,,,
2008-08-31,+27,746,Ю 1м/с,+19,744,Ю 1м/с
2008-08-32,+25,747,З 1м/с,+18,747,З 1м/с
2008-08-33,+27,750,З 2м/с,+21,750,З 2м/с
2008-08-34,+28,750,ЮВ 2м/с,+23,749,ЮВ 2м/с
2008-08-35,+30,746,ЮЗ 3м/с,,,
2008-08-36,+22,740,ЮЗ 5м/с,+18,741,ЮЗ 5м/с
2008-08-37,+19,744,З 3м/с,+15,746,З 3м/с
2008-08-38,+25,744,ЮЗ 3м/с,+22,743,ЮЗ 3м/с
2008-08-39,+24,740,Ю 4м/с,+23,738,Ю 4м/с
2008-08-40,+18,733,ЮЗ 5м/с,+13,735,ЮЗ 5м/с
2008-09-10,+13,741,З 3м/с,+9,745,З 3м/с
2008-09-11,+15,749,З 5м/с,+13,748,З 5м/с
2008-09-12,+14,751,З 2м/с,+15,751,З 2м/с
2008-09-13,+20,753,З 2м/с,+16,753,З 2м/с
2008-09-14,+26,753,З 3м/с,+17,752,З 3м/с
2008-09-15,+29,753,ЮЗ 2м/с,+19,753,ЮЗ 2м/с
2008-09-16,+30,753,Ю 2м/с,+19,751,Ю 2м/с
2008-09-17,+29,748,ЮЗ 3м/с,+22,747,ЮЗ 3м/с
2008-09-18,+29,744,ЮЗ 2м/с,+18,744,ЮЗ 2м/с
2008-09-19,+18,747,С 2м/с,+10,748,С 2м/с
2008-09-20,+16,747,В 3м/с,+13,745,В 3м/с
2008-09-21,+13,741,В 3м/с,+13,739,В 3м/с
2008-09-22,+15,741,ЮЗ 1м/с,+12,741,ЮЗ 1м/с
2008-09-23,+15,742,Ю 1м/с,+13,743,Ю 1м/с
2008-09-24,+11,734,В 2м/с,+11,735,В 2м/с
2008-09-25,+8,746,С 3м/с,+7,749,С 3м/с
2008-09-26,+10,753,С 2м/с,+7,755,С 2м/с
2008-09-27,+12,757,СЗ 2м/с,+10,758,СЗ 2м/с
2008-09-28,+14,760,В 1м/с,+11,760,В 1м/с
2008-09-29,+14,762,СВ 2м/с,+10,762,СВ 2м/с
2008-09-30,+14,763,В 2м/с,+10,763,В 2м/с
2008-09-31,+15,762,В 2м/с,+9,761,В 2м/с
2008-09-32,+15,759,В 2м/с,+10,759,В 2м/с
2008-09-33,+15,757,В 1м/с,+11,756,В 1м/с
2008-09-34,+13,753,Ш,+10,753,Ш
2008-09-35,+10,751,С 3м/с,+6,752,С 3м/с
2008-09-36,+6,753,С 2м/с,+3,752,С 2м/с
2008-09-37,+7,752,ЮВ 1м/с,+5,751,ЮВ 1м/с
2008-09-38,+14,747,ЮЗ 4м/с,+12,748,ЮЗ 4м/с
2008-09-39,+14,749,ЮЗ 3м/с,+12,750,ЮЗ 3м/с
2008-10-10,+15,752,Ю 2м/с,+10,753,Ю 2м/с
2008-10-11,+17,753,Ю 1м/с,+11,753,Ю 1м/с
2008-10-12,+20,754,ЮЗ 3м/с,+15,755,ЮЗ 3м/с
2008-10-13,+21,756,Ю 2м/с,+14,757,Ю 2м/с
2008-10-14,+21,756,Ю 2м/с,+15,756,Ю 2м/с
2008-10-15,+21,755,Ш,+15,755,Ш
2008-10-16,+21,752,Ш,+14,752,Ш
2008-10-17,+21,748,З 1м/с,+15,747,З 1м/с
2008-10-18,+9,746,С 3м/с,+7,747,С 3м/с
2008-10-19,+6,752,З 3м/с,+3,753,З 3м/с
2008-10-20,+5,753,Ш,+5,753,Ш
2008-10-21,+7,744,ЮЗ 4м/с,+8,741,ЮЗ 4м/с
2008-10-22,+12,741,З 2м/с,+9,741,З 2м/с
2008-10-23,+12,745,З 4м/с,+8,747,З 4м/с
2008-10-24,+13,742,ЮЗ 4м/с,+11,742,ЮЗ 4м/с
2008-10-25,+10,749,СЗ 2м/с,+5,750,СЗ 2м/с
2008-10-26,+11,752,ЮЗ 1м/с,+9,752,ЮЗ 1м/с
2008-10-27,+10,753,Ю 2м/с,+8,751,Ю 2м/с
2008-10-28,+7,749,ЮЗ 2м/с,+7,750,ЮЗ 2м/с
2008-10-29,+8,747,Ю 2м/с,+6,744,Ю 2м/с
2008-10-30,+8,748,С 2м/с,+6,751,С 2м/с
2008-10-31,+9,756,З 2м/с,+7,756,З 2м/с
2008-10-32,+11,756,З 2м/с,+8,756,З 2м/с
2008-10-33,+11,756,З 3м/с,+7,757,З 3м/с
2008-10-34,+8,762,С 2м/с,+4,763,С 2м/с
2008-10-35,+9,762,Ш,+5,762,Ш
2008-10-36,+9,758,ЮЗ 3м/с,+5,758,ЮЗ 3м/с
2008-10-37,+8,759,ЮЗ 2м/с,+5,759,ЮЗ 2м/с
2008-10-38,+9,760,ЮЗ 2м/с,+6,760,ЮЗ 2м/с
2008-10-39,+11,762,ЮЗ 1м/с,+7,762,ЮЗ 1м/с
2008-10-40,+13,762,Ю 1м/с,+8,761,Ю 1м/с
2008-11-10,+13,759,ЮЗ 3м/с,+8,758,ЮЗ 3м/с
2008-11-11,+11,754,Ю 2м/с,+9,751,Ю 2м/с
2008-11-12,+6,749,СЗ 2м/с,+3,751,СЗ 2м/с
2008-11-13,+4,751,З 4м/с,+2,753,З 4м/с
2008-11-14,+6,746,Ю 4м/с,+4,743,Ю 4м/с
2008-11-15,+2,743,СЗ 2м/с,+1,745,СЗ 2м/с
2008-11-16,-1,754,С 2м/с,-1,756,С 2м/с
2008-11-17,-1,755,СЗ 2м/с,+1,758,СЗ 2м/с
2008-11-18,+2,762,З 2м/с,+1,760,З 2м/с
2008-11-19,+5,757,З 4м/с,+3,758,З 4м/с
2008-11-20,+4,759,З 2м/с,+4,759,З 2м/с
2008-11-21,+7,758,З 3м/с,+3,759,З 3м/с
2008-11-22,+7,761,ЮЗ 2м/с,+3,761,ЮЗ 2м/с
2008-11-23,+4,760,Ш,+1,759,Ш
2008-11-24,+6,753,В 2м/с,+4,751,В 2м/с
2008-11-25,+4,748,Ю 2м/с,+5,750,Ю 2м/с
2008-11-26,+6,746,ЮЗ 2м/с,+5,747,ЮЗ 2м/с
2008-11-27,+7,745,Ю 5м/с,+7,746,Ю 5м/с
2008-11-28,+1,744,ЮЗ 5м/с,+1,745,ЮЗ 5м/с
2008-11-29,0,741,ЮЗ 3м/с,0,740,ЮЗ 3м/с
2008-11-30,+4,735,ЮЗ 4м/с,+5,736,ЮЗ 4м/с
2008-11-31,+7,743,Ю 3м/с,+9,744,Ю 3м/с
2008-11-32,+10,743,В 4м/с,+8,743,В 4м/с
2008-11-33,+4,752,В 1м/с,+1,753,В 1м/с
2008-11-34,+1,759,ЮЗ 2м/с,0,758,ЮЗ 2м/с
2008-11-35,0,749,ЮВ 2м/с,+1,744,ЮВ 2м/с
2008-11-36,+1,743,З 1м/с,-1,744,З 1м/с
2008-11-37,+1,753,ЮЗ 3м/с,+1,756,ЮЗ 3м/с
2008-11-38,+2,760,ЮЗ 2м/с,+2,761,ЮЗ 2м/с
2008-11-39,+2,764,Ш,+2,764,Ш
2008-12-10,+3,765,СВ 2м/с,0,765,СВ 2м/с
2008-12-11,+1,762,В 3м/с,0,762,В 3м/с
2008-12-12,+1,762,В 2м/с,+1,763,В 2м/с
2008-12-13,0,760,Ю 2м/с,0,759,Ю 2м/с
2008-12-14,+2,758,З 1м/с,+2,756,З 1м/с
2008-12-15,+2,754,Ю 3м/с,+3,754,Ю 3м/с
2008-12-16,+4,753,Ю 2м/с,+4,753,Ю 2м/с
2008-12-17,+5,750,В 2м/с,+2,750,В 2м/с
2008-12-18,+3,751,В 2м/с,+1,750,В 2м/с
2008-12-19,0,753,В 1м/с,0,754,В 1м/с
2008-12-20,0,759,Ш,0,761,Ш
2008-12-21,0,761,С 2м/с,-2,760,С 2м/с
2008-12-22,-3,754,З 3м/с,-3,755,З 3м/с
2008-12-23,-4,759,С 3м/с,-6,762,С 3м/с
2008-12-24,-8,761,СЗ 1м/с,-8,759,СЗ 1м/с
2008-12-25,-9,759,С 2м/с,-9,759,С 2м/с
2008-12-26,-7,763,СВ 2м/с,-9,765,СВ 2м/с
2008-12-27,-10,766,Ш,-13,766,Ш
2008-12-28,-13,765,Ш,-14,765,Ш
2008-12-29,-13,765,Ш,-14,764,Ш
2008-12-30,-12,763,Ш,-16,763,Ш
2008-12-31,-11,762,Ш,-12,761,Ш
2008-12-32,-12,761,В 1м/с,-12,761,В 1м/с
2008-12-33,-9,760,В 3м/с,-10,760,В 3м/с
2008-12-34,-9,763,В 3м/с,-8,765,В 3м/с
2008-12-35,-8,768,Ш,-11,768,Ш
2008-12-36,-9,762,З 1м/с,-12,759,З 1м/с
2008-12-37,-8,752,ЮЗ 2м/с,-10,751,ЮЗ 2м/с
2008-12-38,-8,753,Ш,-8,755,Ш
2008-12-39,-8,759,ЮЗ 2м/с,-10,759,ЮЗ 2м/с
2008-12-40,-8,756,Ю 2м/с,-12,755,Ю 2м/с
2009-01-10,-10,747,Ю 2м/с,-12,744,Ю 2м/с
2009-01-11,-8,740,Ю 2м/с,-9,741,Ю 2м/с
2009-01-12,-14,745,З 2м/с,-16,747,З 2м/с
2009-01-13,-16,747,В 2м/с,-13,745,В 2м/с
2009-01-14,-12,748,ЮВ 1м/с,-13,748,ЮВ 1м/с
2009-01-15,-15,748,З 1м/с,-18,750,З 1м/с
2009-01-16,-16,751,З 2м/с,-16,753,З 2м/с
2009-01-17,-15,756,Ю 2м/с,-17,756,Ю 2м/с
2009-01-18,-13,745,ЮВ 2м/с,-13,744,ЮВ 2м/с
2009-01-19,-16,747,В 2м/с,-16,747,В 2м/с
2009-01-20,-20,750,С 3м/с,-22,750,С 3м/с
2009-01-21,-18,751,З 1м/с,-20,751,З 1м/с
2009-01-22,-16,749,Ю 2м/с,-12,746,Ю 2м/с
2009-01-23,-4,746,ЮЗ 3м/с,-6,749,ЮЗ 3м/с
2009-01-24,-2,753,ЮЗ 1м/с,-2,753,ЮЗ 1м/с
2009-01-25,-5,748,Ю 2м/с,-2,750,Ю 2м/с
2009-01-26,-4,757,С 3м/с,-5,758,С 3м/с
2009-01-27,-7,756,В 5м/с,-7,753,В 5м/с
2009-01-28,-5,753,Ш,-8,753,Ш
2009-01-29,-7,753,Ю 2м/с,-7,755,Ю 2м/с
2009-01-30,-5,759,Ш,-5,761,Ш
2009-01-31,-7,763,ЮЗ 1м/с,-8,763,ЮЗ 1м/с
2009-01-32,-7,759,Ю 3м/с,-11,758,Ю 3м/с
2009-01-33,-7,753,В 3м/с,-8,753,В 3м/с
2009-01-34,-4,754,Ю 1м/с,-8,754,Ю 1м/с
2009-01-35,-6,756,В 1м/с,-8,756,В 1м/с
2009-01-36,-4,755,В 1м/с,-8,755,В 1м/с
2009-01-37,-5,754,ЮЗ 1м/с,-9,753,ЮЗ 1м/с
2009-01-38,-7,751,Ш,-12,751,Ш
2009-01-39,-9,751,В 2м/с,-10,753,В 2м/с
2009-01-40,-8,753,В 2м/с,-8,753,В 2м/с
2009-02-10,-6,753,СЗ 1м/с,-10,754,СЗ 1м/с
2009-02-11,-8,754,З 1м/с,-11,752,З 1м/с
2009-02-12,-8,747,З 2м/с,-11,749,З 2м/с
2009-02-13,-8,748,ЮЗ 4м/с,-11,753,ЮЗ 4м/с
2009-02-14,-5,741,З 3м/с,-4,742,З 3м/с
2009-02-15,-7,744,В 2м/с,-11,744,В 2м/с
2009-02-16,-17,747,СЗ 2м/с,-18,750,СЗ 2м/с
2009-02-17,-11,753,Ш,-10,754,Ш
2009-02-18,-6,756,ЮЗ 2м/с,-12,756,ЮЗ 2м/с
2009-02-19,-8,755,В 2м/с,-11,755,В 2м/с
2009-02-20,-4,754,В 3м/с,-7,753,В 3м/с
2009-02-21,-5,754,ЮВ 2м/с,-5,754,ЮВ 2м/с
2009-02-22,-5,751,ЮВ 3м/с,-7,751,ЮВ 3м/с
2009-02-23,-2,756,Ш,-3,756,Ш
2009-02-24,-2,756,В 2м/с,-5,756,В 2м/с
2009-02-25,-2,756,В 3м/с,-7,756,В 3м/с
2009-02-26,-3,756,В 2м/с,-4,756,В 2м/с
2009-02-27,-3,755,В 1м/с,-7,756,В 1м/с
2009-02-28,-3,756,В 2м/с,-4,756,В 2м/с
2009-02-29,-3,762,В 3м/с,-9,765,В 3м/с
2009-02-30,-8,767,В 3м/с,-11,765,В 3м/с
2009-02-31,-8,761,В 3м/с,-12,761,В 3м/с
2009-02-32,-7,759,В 1м/с,-9,760,В 1м/с
